ProviderName,LicenseType,ProviderType,ProviderTypeDescription,QualityRating,QualityRatingDescription,ProviderCapacity,PhysicalCity,PhysicalZipCode,CountyNumber,CountyName,PhoneNumber,Hours of operation,Gender,Age
Julia Burgess,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,FRIARS POINT,38631,14,COAHOMA,601-960-5447,9AM-5PM,"Female, Male",All ages
Julia E Pino,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,JACKSON,39212,25,HINDS,601-960-6531,9AM-5PM,"Female, Male",All ages
Julia Michel,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GULFPORT,39501,24,HARRISON,601-961-0092,9AM-5PM,"Female, Male",All ages
Anh Nguyet Nguyen,LICENSED,4,Center,0,Not Rated,68,PASS CHRISTIAN,39571,24,HARRISON,601-961-0092,9AM-5PM,"Female, Male",All ages
Julia Velasco,UNLICENSED,6,Relative In-Home,0,Not Rated,5,GULFPORT,39501,24,HARRISON,601-961-7505,9AM-5PM,"Female, Male",All ages
Juliana Marshall,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,FRIARS POINT,38631,14,COAHOMA,601-962-2160,9AM-5PM,"Female, Male",All ages
Juliann Boltwood,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,6,CLARKSDALE,38614,14,COAHOMA,601-964-0130,9AM-5PM,"Female, Male",All ages
Julianna Walker,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,PASCAGOULA,39581,30,JACKSON,601-965-4999,9AM-5PM,"Female, Male",All ages
Julie  Mullins,UNLICENSED,6,Relative In-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,601-966-1446,9AM-5PM,"Female, Male",All ages
Anh Nhat Tran,LICENSED,4,Center,0,Not Rated,148,JACKSON,39212,25,HINDS,601-966-9060,9AM-5PM,"Female, Male",All ages
Julie Anna Slade,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,CLINTON,39056,25,HINDS,601-968-0133,9AM-5PM,"Female, Male",All ages
Anh Nhu Thi  Nguyen,LICENSED,4,Center,3,Good,61,PASCAGOULA,39567,30,JACKSON,601-969-2995,9AM-5PM,"Female, Male",All ages
Julie Braun,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,HERNANDO,38632,17,DESOTO,601-969-5733,9AM-5PM,"Female, Male",All ages
Anh T Tran,LICENSED,4,Center,1,Low,45,PASCAGOULA,39581,30,JACKSON,601-969-7805,9AM-5PM,"Female, Male",All ages
Anh Thi Dao,LICENSED,4,Center,2,Average,89,CLARKSDALE,38614,14,COAHOMA,601-977-0006,9AM-5PM,"Female, Male",All ages
Anh Thi Nguyen,LICENSED,4,Center,0,Not Rated,50,BILOXI,39532,24,HARRISON,601-977-0006,9AM-5PM,"Female, Male",All ages
Anh Thi Trinh,LICENSED,4,Center,4,Very Good,111,BILOXI,39531,24,HARRISON,601-977-8336,9AM-5PM,"Female, Male",All ages
Julie Buckner,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,DURANT,39063,26,HOLMES,601-977-9950,9AM-5PM,"Female, Male",All ages
Julie Dedear,UNLICENSED,6,Relative In-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,601-978-1999,9AM-5PM,"Female, Male",All ages
Julie Denise Kelso,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,BELZONI,39038,27,HUMPHREYS,601-978-2313,9AM-5PM,"Female, Male",All ages
Anh Thi Vu,LICENSED,4,Center,4,Very Good,69,SAUCIER,39574,24,HARRISON,601-979-2238,9AM-5PM,"Female, Male",All ages
Julie Gay Edgecomb,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,601-979-2396,9AM-5PM,"Female, Male",All ages
Julie Marie Knowles,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,EDWARDS,39066,25,HINDS,601-980-0163,9AM-5PM,"Female, Male",All ages
Anh Tuyet Thi Tran,LICENSED,4,Center,2,Average,91,GULFPORT,39507,24,HARRISON,601-981-2211,9AM-5PM,"Female, Male",All ages
Julie Price,UNLICENSED,6,Relative In-Home,0,Not Rated,5,TCHULA,39169,26,HOLMES,601-981-2508,9AM-5PM,"Female, Male",All ages
Julie Rebecca Gossage,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,JACKSON,39204,25,HINDS,601-981-2659,9AM-5PM,"Female, Male",All ages
Julie Ryan,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,PASCAGOULA,39581,30,JACKSON,601-981-3133,9AM-5PM,"Female, Male",All ages
Julie Salvador,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,601-981-3878,9AM-5PM,"Female, Male",All ages
Juliet Onyegbule,UNLICENSED,6,Relative In-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,601-981-3878,9AM-5PM,"Female, Male",All ages
Julisa Sommer,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,601-981-4332,9AM-5PM,"Female, Male",All ages
June Johnson,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,JACKSON,39212,25,HINDS,601-981-4473,9AM-5PM,"Female, Male",All ages
Justina  Mbaka,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,JACKSON,39204,25,HINDS,601-981-4612,9AM-5PM,"Female, Male",All ages
Anh-Nga Thi Ngu,LICENSED,4,Center,0,Not Rated,285,JACKSON,39204,25,HINDS,601-981-4660,9AM-5PM,"Female, Male",All ages
Anh-Thu Nguyen,LICENSED,4,Center,3,Good,290,MOSS POINT,39563,30,JACKSON,601-981-4678,9AM-5PM,"Female, Male",All ages
Justina Austin-James,UNLICENSED,6,Relative In-Home,0,Not Rated,5,DIBERVILLE,39540,24,HARRISON,601-981-4938,9AM-5PM,"Female, Male",All ages
Justine LeAnn Galvan,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-981-5279,9AM-5PM,"Female, Male",All ages
AnhNguyet  Do,LICENSED,4,Center,0,Not Rated,108,STENNIS SPACE CENTER,39529,23,HANCOCK,601-981-6134,9AM-5PM,"Female, Male",All ages
Anica  Davis,LICENSED,4,Center,0,Not Rated,50,HEIDELBERG,39439,31,JASPER,601-981-6642,9AM-5PM,"Female, Male",All ages
Anicia Hubbard,LICENSED,4,Center,0,Not Rated,150,OCEAN SPRINGS,39564,30,JACKSON,601-981-6749,9AM-5PM,"Female, Male",All ages
Animal Krackers,LICENSED,4,Center,0,Not Rated,80,JACKSON,39209,25,HINDS,601-981-7354,9AM-5PM,"Female, Male",All ages
Jyothi Kanderao,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,FRIARS POINT,38631,14,COAHOMA,601-981-8588,9AM-5PM,"Female, Male",All ages
Jyothi Yennam,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,JACKSON,39216,25,HINDS,601-981-9838,9AM-5PM,"Female, Male",All ages
Anina Phillips,LICENSED,4,Center,2,Average,75,PASS CHRISTIAN,39571,24,HARRISON,601-982-0305,9AM-5PM,"Female, Male",All ages
Anita Ayala,LICENSED,4,Center,4,Very Good,57,DIBERVILLE,39540,24,HARRISON,601-982-1604,9AM-5PM,"Female, Male",All ages
Kaitlyn  Nicole Courtney,UNLICENSED,6,Relative In-Home,0,Not Rated,5,LOUISE,39097,27,HUMPHREYS,601-982-1654,9AM-5PM,"Female, Male",All ages
Kaitlyn Netherton,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,JACKSON,39212,25,HINDS,601-982-2465,9AM-5PM,"Female, Male",All ages
Kala Raglin,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,FRIARS POINT,38631,14,COAHOMA,601-982-3899,9AM-5PM,"Female, Male",All ages
Anita Beards Day Care,LICENSED,4,Center,1,Low,39,OCEAN SPRINGS,39564,30,JACKSON,601-982-4012,9AM-5PM,"Female, Male",All ages
Anita Calton,LICENSED,4,Center,2,Average,50,CLARKSDALE,38614,14,COAHOMA,601-982-4586,9AM-5PM,"Female, Male",All ages
Kalisa Gimble,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,FRIARS POINT,38631,14,COAHOMA,601-982-4666,9AM-5PM,"Female, Male",All ages
Anita Delores Smith,LICENSED,4,Center,0,Not Rated,12,PASCAGOULA,39581,30,JACKSON,601-982-4991,9AM-5PM,"Female, Male",All ages
Kallie Greenly,UNLICENSED,6,Relative In-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,601-982-8156,9AM-5PM,"Female, Male",All ages
Kalpana  Biswa,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,PICKENS,39146,26,HOLMES,601-982-8156,9AM-5PM,"Female, Male",All ages
Anita Laurel,LICENSED,4,Center,1,Low,27,GULFPORT,39501,24,HARRISON,601-983-7419,9AM-5PM,"Female, Male",All ages
Anita Martinez,LICENSED,4,Center,0,Not Rated,50,JACKSON,39212,25,HINDS,601-983-7526,9AM-5PM,"Female, Male",All ages
Kalpana  Budathoki,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,JACKSON,39206,25,HINDS,601-983-7870,9AM-5PM,"Female, Male",All ages
Kalyani Raman,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,COLUMBIA,39429,46,MARION,601-983-8684,9AM-5PM,"Female, Male",All ages
Kameisha Edwards,UNLICENSED,6,Relative In-Home,0,Not Rated,5,BELZONI,39038,27,HUMPHREYS,601-985-9323,9AM-5PM,"Female, Male",All ages
Anita Suzanne Tubbs,LICENSED,4,Center,0,Not Rated,67,JACKSON,39203,25,HINDS,601-987-3506,9AM-5PM,"Female, Male",All ages
Kami Appelhans,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,PICKENS,39146,26,HOLMES,601-987-3512,9AM-5PM,"Female, Male",All ages
Anita T. Dovalina Head Start,LICENSED,4,Center,0,Not Rated,28,KILN,39556,23,HANCOCK,601-987-3512,9AM-5PM,"Female, Male",All ages
Anitas Child Care Home,LICENSED,4,Center,4,Very Good,145,LONG BEACH,39560,24,HARRISON,601-987-3527,9AM-5PM,"Female, Male",All ages
Kammie Savidge,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,601-987-3531,9AM-5PM,"Female, Male",All ages
Kara Alvarado,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,601-987-3534,9AM-5PM,"Female, Male",All ages
Kara Nicole Cavaness,UNLICENSED,6,Relative In-Home,0,Not Rated,5,JACKSON,39212,25,HINDS,601-987-3591,9AM-5PM,"Female, Male",All ages
Kara Robinson,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,FRIARS POINT,38631,14,COAHOMA,601-987-3599,9AM-5PM,"Female, Male",All ages
Karen  Beacham,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,FRIARS POINT,38631,14,COAHOMA,601-987-3903,9AM-5PM,"Female, Male",All ages
Karen  Denise Munoz-Jenzen,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,601-987-4814,9AM-5PM,"Female, Male",All ages
Ann  Ton,LICENSED,4,Center,2,Average,50,GULFPORT,39501,24,HARRISON,601-987-4971,9AM-5PM,"Female, Male",All ages
Ann & Nate Levine Early Childcare Center,LICENSED,4,Center,0,Not Rated,102,JACKSON,39206,25,HINDS,601-987-4978,9AM-5PM,"Female, Male",All ages
Karen  Emerson-Adams,UNLICENSED,6,Relative In-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,601-987-5903,9AM-5PM,"Female, Male",All ages
Ann Hankins,LICENSED,4,Center,0,Not Rated,81,JACKSON,39212,25,HINDS,601-987-8127,9AM-5PM,"Female, Male",All ages
Karen  Wilson,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,FRIARS POINT,38631,14,COAHOMA,601-987-9145,9AM-5PM,"Female, Male",All ages
Karen Anhalt,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,JACKSON,39204,25,HINDS,601-987-9482,9AM-5PM,"Female, Male",All ages
Ann Hornbuckle,LICENSED,4,Center,2,Average,45,DURANT,39063,26,HOLMES,601-987-9482,9AM-5PM,"Female, Male",All ages
Ann Howk,LICENSED,4,Center,0,Not Rated,50,DIAMONDHEAD,39525,23,HANCOCK,601-990-4701,9AM-5PM,"Female, Male",All ages
Ann Johnson,LICENSED,4,Center,0,Not Rated,26,BELZONI,39038,27,HUMPHREYS,601-990-6770,9AM-5PM,"Female, Male",All ages
Karen Anzaldua Fears,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,601-990-6890,9AM-5PM,"Female, Male",All ages
Ann Marie Schmoker,LICENSED,4,Center,0,Not Rated,75,JACKSON,39209,25,HINDS,601-990-7279,9AM-5PM,"Female, Male",All ages
Karen Cotlone,UNLICENSED,6,Relative In-Home,0,Not Rated,5,BELZONI,39038,27,HUMPHREYS,601-991-0057,9AM-5PM,"Female, Male",All ages
Karen Cottle,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,JACKSON,39203,25,HINDS,601-991-1083,9AM-5PM,"Female, Male",All ages
Ann Snyder Elementary YMCA,LICENSED,2,Slot Contractor,0,Not Rated,74,JACKSON,39204,25,HINDS,601-991-9320,9AM-5PM,"Female, Male",All ages
Karen Cummings,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,FRIARS POINT,38631,14,COAHOMA,601-992-0447,9AM-5PM,"Female, Male",All ages
Karen D Lewis,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,601-992-2444,9AM-5PM,"Female, Male",All ages
Ann Truong Nguyen,LICENSED,3,Group Home,3,Good,74,MOSS POINT,39563,30,JACKSON,601-992-4190,9AM-5PM,"Female, Male",All ages
Karen Dale,UNLICENSED,6,Relative In-Home,0,Not Rated,5,ISOLA,38754,27,HUMPHREYS,601-994-3285,9AM-5PM,"Female, Male",All ages
Karen Denise Redditt,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,FRIARS POINT,38631,14,COAHOMA,601-999-9999,9AM-5PM,"Female, Male",All ages
Anna Enriquez,LICENSED,3,Group Home,0,Not Rated,36,JACKSON,39217,25,HINDS,604-656-7224,9AM-5PM,"Female, Male",All ages
Karen Husky Stein,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GULFPORT,39501,24,HARRISON,606-668-1968,9AM-5PM,"Female, Male",All ages
Karen Jean Huvar,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,HEIDELBERG,39439,31,JASPER,607-410-6396,9AM-5PM,"Female, Male",All ages
Karen Jones,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,607-988-0418,9AM-5PM,"Female, Male",All ages
Anna Lynch,LICENSED,3,Group Home,0,Not Rated,74,JACKSON,39212,25,HINDS,609-636-7687,9AM-5PM,"Female, Male",All ages
Anna Maria Sanchez,LICENSED,3,Group Home,0,Not Rated,240,OCEAN SPRINGS,39564,30,JACKSON,609-765-2273,9AM-5PM,"Female, Male",All ages
Karen Kay Ermoian,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,GULFPORT,39501,24,HARRISON,622-627-2253,9AM-5PM,"Female, Male",All ages
Karen Lacey,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,JACKSON,39203,25,HINDS,660-363-3448,9AM-5PM,"Female, Male",All ages
Anna Nguyen,LICENSED,3,Group Home,3,Good,290,MOSS POINT,39563,30,JACKSON,660-763-7279,9AM-5PM,"Female, Male",All ages
Anna Nu Ton,LICENSED,3,Group Home,0,Not Rated,23,TCHULA,39169,26,HOLMES,661-434-7111,9AM-5PM,"Female, Male",All ages
Karen Lynette Bedford,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,LEXINGTON,39095,26,HOLMES,662-200-2234,9AM-5PM,"Female, Male",All ages
Karen Marie Ivy,UNLICENSED,6,Relative In-Home,0,Not Rated,5,MOUND BAYOU,38762,6,BOLIVAR,662-205-4153,9AM-5PM,"Female, Male",All ages
Anna Oliver,LICENSED,3,Group Home,0,Not Rated,75,JACKSON,39213,25,HINDS,662-205-4565,9AM-5PM,"Female, Male",All ages
Anna Paniagua,LICENSED,3,Group Home,0,Not Rated,75,JACKSON,39213,25,HINDS,662-205-4698,9AM-5PM,"Female, Male",All ages
Anna Pham,LICENSED,3,Group Home,2,Average,96,GULFPORT,39507,24,HARRISON,662-207-0423,9AM-5PM,"Female, Male",All ages
Anna Strong,LICENSED,3,Group Home,0,Not Rated,110,CLINTON,39056,25,HINDS,662-207-1257,9AM-5PM,"Female, Male",All ages
Karen Schenck,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,DURANT,39063,26,HOLMES,662-207-1607,9AM-5PM,"Female, Male",All ages
Karen Schlimper,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,PASCAGOULA,39581,30,JACKSON,662-207-2307,9AM-5PM,"Female, Male",All ages
Anna Tatum,LICENSED,3,Group Home,0,Not Rated,40,HATTIESBURG,39401,18,FORREST,662-207-2329,9AM-5PM,"Female, Male",All ages
Karen Smith,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,JACKSON,39212,25,HINDS,662-207-2823,9AM-5PM,"Female, Male",All ages
Karen Tedska Flakes,UNLICENSED,6,Relative In-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,662-207-4861,9AM-5PM,"Female, Male",All ages
Karen Wells,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,BAY SPRINGS,39422,31,JASPER,662-207-5249,9AM-5PM,"Female, Male",All ages
Karen White,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,PICKENS,39146,26,HOLMES,662-207-5786,9AM-5PM,"Female, Male",All ages
Anna's Childcare,LICENSED,4,Center,2,Average,100,PASCAGOULA,39581,30,JACKSON,662-207-7122,9AM-5PM,"Female, Male",All ages
Karen Woodle,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,JACKSON,39204,25,HINDS,662-207-8074,9AM-5PM,"Female, Male",All ages
Annabelia  Butler,LICENSED,4,Center,0,Not Rated,30,JACKSON,39209,25,HINDS,662-207-8423,9AM-5PM,"Female, Male",All ages
AnnaThanh Huynh,LICENSED,4,Center,3,Good,92,GULFPORT,39503,24,HARRISON,662-207-8973,9AM-5PM,"Female, Male",All ages
Kari Page,UNLICENSED,6,Relative In-Home,0,Not Rated,5,JACKSON,39212,25,HINDS,662-207-9115,9AM-5PM,"Female, Male",All ages
Karina Marie Alvarez,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,NESBIT,38651,17,DESOTO,662-209-2119,9AM-5PM,"Female, Male",All ages
Karisa Henry,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,OCEAN SPRINGS,39564,30,JACKSON,662-209-5644,9AM-5PM,"Female, Male",All ages
Karl Wayne Smith,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,662-210-3541,9AM-5PM,"Female, Male",All ages
Karla Kriewall,UNLICENSED,6,Relative In-Home,0,Not Rated,5,COAHOMA,38617,14,COAHOMA,662-212-2718,9AM-5PM,"Female, Male",All ages
Karla Martinez,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,JACKSON,39212,25,HINDS,662-212-4480,9AM-5PM,"Female, Male",All ages
Annaville Early Headstart,LICENSED,4,Center,0,Not Rated,40,CLARKSDALE,38614,14,COAHOMA,662-213-5072,9AM-5PM,"Female, Male",All ages
Karolyn  Burton,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,CRYSTAL SPRINGS,39059,15,COPIAH,662-213-9943,9AM-5PM,"Female, Male",All ages
Kasandra  Elliott,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,TCHULA,39169,26,HOLMES,662-216-0754,9AM-5PM,"Female, Male",All ages
Kassandra Canales,UNLICENSED,6,Relative In-Home,0,Not Rated,5,DURANT,39063,26,HOLMES,662-216-3742,9AM-5PM,"Female, Male",All ages
Kassandra Jimenez,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,JACKSON,39212,25,HINDS,662-216-9872,9AM-5PM,"Female, Male",All ages
Anne Brown,LICENSED,4,Center,4,Very Good,75,JACKSON,39213,25,HINDS,662-219-0155,9AM-5PM,"Female, Male",All ages
Kasthuri  Raju,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,662-219-0218,9AM-5PM,"Female, Male",All ages
Anne Frank- Celestial YMCA,LICENSED,4,Center,0,Not Rated,15,TCHULA,39169,26,HOLMES,662-219-0264,9AM-5PM,"Female, Male",All ages
Kate Neidermayer-Askier,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CLEVELAND,38732,6,BOLIVAR,662-219-0347,9AM-5PM,"Female, Male",All ages
Katherine Cultreri,UNLICENSED,6,Relative In-Home,0,Not Rated,5,BOLTON,39041,25,HINDS,662-219-0445,9AM-5PM,"Female, Male",All ages
Katherine Grace  Orozco,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,BELZONI,39038,27,HUMPHREYS,662-219-0483,9AM-5PM,"Female, Male",All ages
Anne Loesch,LICENSED,4,Center,0,Not Rated,71,JACKSON,39204,25,HINDS,662-219-0607,9AM-5PM,"Female, Male",All ages
Anne Trinh,LICENSED,4,Center,0,Not Rated,60,TERRY,39170,25,HINDS,662-219-0769,9AM-5PM,"Female, Male",All ages
Katherine Hardaway,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,DURANT,39063,26,HOLMES,662-219-2198,9AM-5PM,"Female, Male",All ages
Katherine Ingle,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,WINSTONVILLE,38781,6,BOLIVAR,662-219-2271,9AM-5PM,"Female, Male",All ages
Katherine Marie Williams,UNLICENSED,6,Relative In-Home,0,Not Rated,5,JONESTOWN,38639,14,COAHOMA,662-219-4014,9AM-5PM,"Female, Male",All ages
Katherine Newkirk,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,ROSEDALE,38769,6,BOLIVAR,662-219-4080,9AM-5PM,"Female, Male",All ages
Annebelle Jenkins,LICENSED,4,Center,0,Not Rated,40,HATTIESBURG,39401,18,FORREST,662-219-4091,9AM-5PM,"Female, Male",All ages
Katherine Trout,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,PASCAGOULA,39581,30,JACKSON,662-219-7533,9AM-5PM,"Female, Male",All ages
Annekes Preschool,LICENSED,4,Center,0,Not Rated,50,VANCLEAVE,39565,30,JACKSON,662-219-8862,9AM-5PM,"Female, Male",All ages
Kathie Jean Strehlow,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CRYSTAL SPRINGS,39059,15,COPIAH,662-223-1241,9AM-5PM,"Female, Male",All ages
Kathleen Agtuca,UNLICENSED,6,Relative In-Home,0,Not Rated,5,OCEAN SPRINGS,39564,30,JACKSON,662-223-4279,9AM-5PM,"Female, Male",All ages
Kathleen Chisholm,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,JACKSON,39212,25,HINDS,662-224-3660,9AM-5PM,"Female, Male",All ages
Annette  Bradford,LICENSED,4,Center,0,Not Rated,50,JACKSON,39212,25,HINDS,662-224-6652,9AM-5PM,"Female, Male",All ages
Kathleen Jolly,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,662-226-0094,9AM-5PM,"Female, Male",All ages
Annette  Kelleher,LICENSED,4,Center,0,Not Rated,15,GULFPORT,39501,24,HARRISON,662-226-0963,9AM-5PM,"Female, Male",All ages
Kathleen Rogers,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GULFPORT,39501,24,HARRISON,662-226-2282,9AM-5PM,"Female, Male",All ages
Kathryn Jeffrey,UNLICENSED,6,Relative In-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,662-226-4315,9AM-5PM,"Female, Male",All ages
Kathryn Jimenez,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,TCHULA,39169,26,HOLMES,662-226-4462,9AM-5PM,"Female, Male",All ages
Kathryn Jones,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,FRIARS POINT,38631,14,COAHOMA,662-226-4468,9AM-5PM,"Female, Male",All ages
Kathryn Staudacher,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,FRIARS POINT,38631,14,COAHOMA,662-226-4847,9AM-5PM,"Female, Male",All ages
Kathy  Carlon,UNLICENSED,6,Relative In-Home,0,Not Rated,5,BELZONI,39038,27,HUMPHREYS,662-226-4921,9AM-5PM,"Female, Male",All ages
Kathy  Durham,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,TCHULA,39169,26,HOLMES,662-226-7459,9AM-5PM,"Female, Male",All ages
Kathy Kanelis,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,JACKSON,39204,25,HINDS,662-227-1719,9AM-5PM,"Female, Male",All ages
Kathy Martinka,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,662-227-2279,9AM-5PM,"Female, Male",All ages
Kathy McGavock,UNLICENSED,6,Relative In-Home,0,Not Rated,5,WAVELAND,39576,23,HANCOCK,662-227-9112,9AM-5PM,"Female, Male",All ages
Annette Angelle,LICENSED,4,Center,0,Not Rated,29,OCEAN SPRINGS,39564,30,JACKSON,662-227-9693,9AM-5PM,"Female, Male",All ages
Kathy Miller,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,PASCAGOULA,39581,30,JACKSON,662-228-1063,9AM-5PM,"Female, Male",All ages
Annette Carolyn Brooks,LICENSED,4,Center,0,Not Rated,83,CLINTON,39056,25,HINDS,662-229-0098,9AM-5PM,"Female, Male",All ages
Kathy Renee Singleton,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,662-229-5635,9AM-5PM,"Female, Male",All ages
Kathy Vogel,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,PICKENS,39146,26,HOLMES,662-230-2563,9AM-5PM,"Female, Male",All ages
Katie Bender,UNLICENSED,6,Relative In-Home,0,Not Rated,5,PASCAGOULA,39563,30,JACKSON,662-232-7612,9AM-5PM,"Female, Male",All ages
Katie Mae Smith,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,662-233-6071,9AM-5PM,"Female, Male",All ages
Katie Robert,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,JACKSON,39209,25,HINDS,662-233-7072,9AM-5PM,"Female, Male",All ages
Katie Sanders,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CLARKSDALE,38614,14,COAHOMA,662-234-3163,9AM-5PM,"Female, Male",All ages
Katrina Curtis,UNLICENSED,6,Relative In-Home,0,Not Rated,5,BAY SAINT LOUIS,39520,23,HANCOCK,662-234-4074,9AM-5PM,"Female, Male",All ages
Annette Choice,LICENSED,4,Center,0,Not Rated,100,KILN,39556,23,HANCOCK,662-234-7378,9AM-5PM,"Female, Male",All ages
Katrina Wooten,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,JACKSON,39204,25,HINDS,662-235-0599,9AM-5PM,"Female, Male",All ages
Annette Fielden,LICENSED,4,Center,2,Average,74,MOSS POINT,39581,30,JACKSON,662-235-4001,9AM-5PM,"Female, Male",All ages
